#NT #Ni #Observables
2	   1   999.99999999999250        7.0000000000000000             7500   499.28320069254181        250526.45747616878        1242.7429823798011        499.28320069254181        250526.45747616878        1242.7429823798011     
2	   1   999.99999999999250        7.0000000000000000             7500   500.71679930745074        251960.05609107536        1242.7429823774437        500.71679930745074        251960.05609107536        1242.7429823774437       0.96468259104206788     
24	  15   999.99999999998477        7.0000000000000000            15000   497.50175969804224        248838.96624353720        1330.9653408886516        491.24843503682342        242666.48905822181        1341.4641320936789     
24	   9   999.99999999998477        7.0000000000000000            15000   502.49824030194259        253835.44684743491        1330.9653408860613        498.93837700700794        250272.69641933250        1333.1923689453106       0.96929197573621251     
16	  12   999.99999999998795        7.0000000000000000            25000   501.72725748212173        252862.31544336490        1132.0745428336377        496.48558412490337        247643.58269174513        1145.6474478986347     
16	   4   999.99999999998795        7.0000000000000000            25000   498.27274251786622        249407.80047910576        1132.0745428299415        496.82852981392949        247969.96411837268        1131.3760813020635       0.96453857748674732     
8	   6   999.99999999998886        7.0000000000000000            25000   500.37621806425773        251611.14664001387        1234.7870357242646        498.06294904440693        249299.02774469083        1232.3265338793281     
8	   2   999.99999999998886        7.0000000000000000            25000   499.62378193573119        250858.71051148564        1234.7870357225765        499.16046810362644        250397.79458903422        1236.6216716027411       0.96605368533755764     
300	 250   1000.0000000000000        7.0000000000000000             7500   542.80388584857224        295562.06591805699        926.00742574717151        442.39542963962100        196727.58754092306        1013.8713748982118     
300	  50   1000.0000000000000        7.0000000000000000             7500   457.19611415132823        209954.29422082411        926.00742574976175        437.45025475847217        192306.75748836825        944.03210011604824       0.95957351699287941     
1050	1000   1000.0000000000000        7.0000000000000000             2500   647.07167744923686        419181.83623010328        480.08047313406132        340.16328270844497        116458.95990091248        747.90099792701949     
1050	  50   1000.0000000000000        7.0000000000000000             2500   352.92832255057442        125038.48133149717        480.08047313487623        337.90112867139152        114669.36103996394        492.18828256365668       0.93490732907593499     
550    525   1000.0000000000000        7.0000000000000000             2500   591.23719507506360        350431.94288220833        870.52204197953688        395.12392483105754        157256.31365760783        1133.3976837086084     
550     25   1000.0000000000000        7.0000000000000000             2500   408.76280492485552        167957.55273201567        870.52204198017716        399.79769928822702        160716.93772241630        878.73736625671154       0.95260511769584422     
150    125   1000.0000000000000        7.0000000000000000             2500   526.56559913787169        278202.28345509974        930.95325967395911        475.28948346745966        226902.20764048366        1002.1145457190578     
150     25   1000.0000000000000        7.0000000000000000             2500   473.43440086208750        225071.08517931818        930.95325967442477        463.52599217327702        215793.51294861408        937.16752839321271       0.95432226173460821     
550    500   1000.0000000000000        7.0099999999999998             2500   576.42241162559833        332997.32172692922        734.52510265848832        392.05162705717152        154575.27076501297        870.79248683748301     
550     50   1000.0000000000000        7.0099999999999998             2500   413.91653857639847        172027.74227432566        700.84136725851567        395.82131361352833        157390.80440607583        716.29209533668472       0.93274221470016783     
550	350   999.99999999963552        7.0000000000000000              250   526.87143599348553        278158.17838209425        564.66831625672057        398.41391641908433        159389.82524450953        656.17644811639911     
550	200   999.99999999963552        7.0000000000000000              250   473.12856400615004        224415.30639477854        564.66831625692430        399.95365651317167        160568.66549202983        605.73813377373153       0.39840089135390350     
